City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Den Helder,75,NL,1595985897,67,52.96,4.76,62.01,18.34
Lar,100,IN,1595986077,83,26.2,83.97,81.46,4.29
Mthatha,0,ZA,1595986077,46,-31.59,28.78,50.74,3.74
Adrar,0,MR,1595985859,42,20.5,-10.07,89.82,25.32
Elizabeth City,2,US,1595985891,80,36.29,-76.25,79.0,1.99
Ust-Nera,81,RU,1595985888,43,64.57,143.2,60.12,6.55
Chapleau,75,CA,1595986077,68,47.84,-83.4,64.4,4.7
Diffa,100,NE,1595986034,55,13.32,12.61,84.97,11.68
Petrozavodsk,100,RU,1595986077,93,61.78,34.35,62.6,6.71
Tomatlán,100,MX,1595986077,72,19.93,-105.25,82.56,2.98
Havelock,75,US,1595985858,78,34.88,-76.9,84.99,5.82
Hanzhong,100,CN,1595986077,83,33.07,107.03,75.22,0.65
Knysna,68,ZA,1595986077,93,-34.04,23.05,53.6,5.82
Bailén,0,ES,1595986077,32,38.1,-3.78,84.0,3.51
Mossendjo,2,CG,1595986077,93,-2.95,12.73,64.17,3.02
Ostrovnoy,0,RU,1595985869,86,68.05,39.51,52.45,5.88
Iqaluit,75,CA,1595985862,59,63.75,-68.51,64.4,10.29
Uribia,2,CO,1595986078,71,11.71,-72.27,83.3,13.78
Kenai,1,US,1595986078,56,60.55,-151.26,71.6,8.05
Nyurba,100,RU,1595986078,65,63.28,118.33,56.48,9.53
Dalvik,90,IS,1595986078,81,65.97,-18.53,48.2,2.24
Ilo,34,PE,1595986063,76,-17.64,-71.34,57.47,2.48
Santiago del Estero,0,AR,1595985874,45,-27.8,-64.26,49.84,6.55
Maudaha,100,IN,1595986078,81,25.68,80.12,82.78,1.07
Eskişehir,0,TR,1595986050,77,39.78,30.52,62.6,2.24
Vanimo,18,PG,1595986028,69,-2.67,141.3,84.76,5.46
Athabasca,5,CA,1595986078,72,54.72,-113.29,79.21,5.12
Santa Marta,37,CO,1595985868,86,11.24,-74.2,80.01,14.5
Arona,0,ES,1595986078,78,28.1,-16.68,73.0,18.34
Biak,99,ID,1595985868,79,-0.91,122.88,78.28,8.5
Torbay,75,CA,1595985861,87,47.67,-52.73,55.99,2.93
Rio Grande,0,BR,1595985590,94,-32.03,-52.1,39.99,11.27
Port Lincoln,46,AU,1595985861,73,-34.73,135.87,58.93,10.94
Sisophon,14,KH,1595986079,74,13.59,102.97,82.09,4.29
Deep River,1,CA,1595986079,53,46.1,-77.5,71.6,5.32
Cururupu,4,BR,1595985862,90,-1.83,-44.87,74.05,3.09
Qasigiannguit,48,GL,1595986079,81,68.82,-51.19,42.8,4.7
Methóni,0,GR,1595986079,77,36.82,21.7,78.01,4.7
Chumikan,0,RU,1595986079,59,54.72,135.31,79.59,18.57
Tsimmerbude,15,RU,1595986079,88,54.67,20.13,62.6,11.18
Hofn,0,IS,1595985856,81,64.25,-15.21,50.99,5.57
Wanlaweyn,48,SO,1595986079,86,2.62,44.89,74.64,11.9
Vīraganūr,100,IN,1595986079,77,11.48,78.73,79.52,6.29
Lufilufi,41,WS,1595986079,94,-13.87,-171.6,78.01,5.99
Brawley,1,US,1595986079,7,32.98,-115.53,113.0,5.82
Soyo,8,AO,1595985893,86,-6.13,12.37,71.74,6.71
Ojinaga,1,MX,1595986079,23,29.57,-104.42,96.8,4.7
Terney,0,RU,1595986079,68,45.05,136.61,75.02,7.2
Kulhudhuffushi,100,MV,1595985893,80,6.62,73.07,81.0,17.34
Kindersley,40,CA,1595986080,42,51.47,-109.17,82.4,11.41
Kieta,73,PG,1595986080,61,-6.22,155.63,86.2,3.18
Ahipara,100,NZ,1595985783,68,-35.17,173.17,59.22,11.56
São Filipe,99,CV,1595985873,84,14.9,-24.5,77.18,4.85
Mirandela,0,PT,1595986080,55,41.49,-7.19,63.0,3.51
Viedma,0,AR,1595985873,70,-40.81,-63.0,39.6,4.68
Nioro,100,GM,1595986050,94,13.35,-15.75,75.87,5.19
Pangody,100,RU,1595986080,89,65.85,74.49,50.09,10.25
Pitimbu,75,BR,1595985875,88,-7.47,-34.81,73.4,5.82
Bousso,64,TD,1595986080,92,10.48,16.71,73.54,3.98
Nanortalik,83,GL,1595985875,94,60.14,-45.24,46.69,10.07
Bugiri,100,UG,1595986080,80,0.57,33.74,66.69,3.83
Severo-Kuril'sk,55,RU,1595985870,80,50.68,156.12,53.82,17.76
Zarubino,100,RU,1595986080,97,42.63,131.09,65.98,5.61
Ōfunato,75,JP,1595986080,78,39.07,141.72,73.4,2.24
Aksu,0,CN,1595986080,26,41.12,80.26,79.14,5.08
Nioki,23,CD,1595986081,55,-2.72,17.68,78.42,2.26
Morón,0,AR,1595986081,69,-34.65,-58.62,46.0,2.24
Lavrentiya,54,RU,1595986028,73,65.58,-171.0,47.98,6.67
Cairns,0,AU,1595986081,25,-16.92,145.77,75.2,13.87
Port Blair,100,IN,1595986007,77,11.67,92.75,83.73,16.13
Daru,86,PG,1595986017,86,-9.08,143.21,78.46,17.49
Abong Mbang,100,CM,1595986069,98,3.98,13.18,65.97,3.8
Byron Bay,0,AU,1595985602,59,-28.65,153.62,64.99,12.75
Portland,20,US,1595985676,29,45.52,-122.68,89.01,8.05
Belmonte,5,BR,1595985862,83,-15.86,-38.88,69.8,2.24
Terrace Bay,97,CA,1595986081,90,48.78,-87.1,59.29,4.54
Biltine,93,TD,1595986081,69,14.53,20.92,80.46,14.12
Luanda,100,AO,1595985912,88,-8.84,13.23,69.8,5.82
Otane,52,NZ,1595986081,67,-39.88,176.63,59.0,2.26
Beringovskiy,20,RU,1595985885,59,63.05,179.32,62.33,9.93
Kimbe,8,PG,1595986081,60,-5.55,150.14,88.52,3.15
Jacareacanga,0,BR,1595986013,52,-6.22,-57.75,75.78,1.57
Nadym,100,RU,1595986082,84,65.53,72.52,49.37,9.86
Grand Gaube,1,MU,1595985886,85,-20.01,57.66,66.0,1.99
Bull Savanna,6,JM,1595986082,87,17.89,-77.59,78.66,7.99
Santa Luzia,0,BR,1595986082,60,-19.77,-43.85,68.0,2.24
Lipno,80,PL,1595986082,92,52.84,19.18,62.85,5.53
Kardailovo,0,RU,1595986082,67,51.54,53.9,61.05,2.93
Batagay,1,RU,1595986082,46,67.63,134.63,55.58,7.52
Cidreira,67,BR,1595985859,73,-30.18,-50.21,47.53,11.83
Mersing,40,MY,1595986082,94,2.43,103.84,77.0,4.7
Oranjemund,6,NA,1595986026,89,-28.55,16.43,53.94,10.87
Yerbogachën,99,RU,1595986082,85,61.28,108.01,56.79,8.63
Cartagena,0,CO,1595986082,83,10.4,-75.51,81.23,14.45
Lorengau,0,PG,1595985886,64,-2.02,147.27,85.89,9.22
Jingdezhen,100,CN,1595986082,86,29.29,117.21,82.02,3.47
Philadelphia,75,US,1595986047,48,39.95,-75.16,88.0,9.17
Kaélé,89,CM,1595986082,84,10.11,14.45,74.5,5.68
Biloela,0,AU,1595986083,52,-24.42,150.5,64.31,13.47
Sunrise Manor,1,US,1595986083,6,36.21,-115.07,109.4,14.99
West Bay,20,KY,1595986030,74,19.37,-81.42,86.0,11.41
Richards Bay,0,ZA,1595986028,86,-28.78,32.04,57.96,7.05
Necochea,0,AR,1595986033,96,-38.55,-58.74,36.0,1.99
Salekhard,16,RU,1595986083,67,66.53,66.6,51.66,8.68
Pimentel,2,PE,1595986042,87,-6.84,-79.93,59.41,10.69
Assiniboia,63,CA,1595986083,29,49.63,-105.98,85.35,7.74
Vangaindrano,80,MG,1595986032,83,-23.35,47.6,63.68,2.24
Ambon City,40,ID,1595986048,74,-3.7,128.18,82.4,9.17
General Roca,0,AR,1595986083,62,-39.03,-67.58,39.2,6.15
Manzhouli,50,CN,1595986083,73,49.6,117.43,73.02,5.99
Bulgan,100,MN,1595986083,72,48.81,103.53,62.49,4.56
Seville,0,ES,1595986083,69,37.38,-5.98,75.99,3.36
Aleksandrovsk-Sakhalinskiy,33,RU,1595986083,69,50.9,142.16,68.59,14.38
Mayskiy,20,RU,1595986084,88,47.69,40.1,69.8,4.47
Kamina,8,CD,1595986084,44,-8.74,24.99,59.92,0.94
São João Batista,100,BR,1595986084,97,-27.28,-48.85,57.0,1.32
Oktyabr'skiy,0,RU,1595985868,84,54.48,53.47,58.01,2.39
Karratha,0,AU,1595986084,23,-20.74,116.85,72.63,15.66
Flin Flon,0,CA,1595985859,42,54.77,-101.86,77.52,4.43
Marrakesh,0,MA,1595985921,64,31.63,-8.01,75.2,4.7
Cayenne,32,GF,1595985895,83,4.93,-52.33,80.6,13.29
Loandjili,40,CG,1595986084,88,-4.76,11.86,73.4,4.7
Goianésia,33,BR,1595986084,65,-15.32,-49.12,66.87,2.77
Boyolangu,96,ID,1595986084,75,-8.12,111.89,75.11,10.22
Clyde River,90,CA,1595985872,100,70.47,-68.59,37.4,13.87
Roald,82,NO,1595985874,93,62.58,6.13,57.2,6.93
Luzhou,96,CN,1595986084,72,28.87,105.44,81.64,2.64
Svetlyy Yar,23,RU,1595986084,45,48.47,44.78,68.0,11.18
Tilichiki,0,RU,1595985873,57,60.47,166.1,65.28,4.0
Lompoc,5,US,1595985751,68,34.64,-120.46,66.2,12.75
Petropavlovsk-Kamchatskiy,4,RU,1595986085,50,53.05,158.65,75.2,4.47
Ballina,0,AU,1595986042,59,-28.87,153.57,64.99,12.75
Haines Junction,100,CA,1595985857,85,60.75,-137.51,51.98,0.63
Nānākuli,40,US,1595986085,45,21.39,-158.15,87.8,10.29
Sarakhs,0,IR,1595986085,48,36.54,61.16,84.2,2.24
Baoding,0,CN,1595986085,61,38.85,115.49,82.47,3.76
Sri Aman,40,MY,1595986085,94,1.24,111.46,80.6,2.24
Opunake,97,NZ,1595986085,63,-39.46,173.86,57.0,3.0
Yarovoy,93,RU,1595986085,79,52.93,78.58,60.66,10.76
Zhizdra,14,RU,1595986085,85,53.75,34.74,61.14,6.46
Jiayuguan City,100,CN,1595986085,36,39.82,98.3,73.94,3.22
Rognan,40,NO,1595986085,67,67.1,15.39,62.6,20.8
Nome,90,US,1595985880,93,64.5,-165.41,50.0,17.22
Dhārchula,100,IN,1595986086,76,29.85,80.53,69.93,2.1
Peringat,20,MY,1595986086,83,6.03,102.28,78.8,4.7
Verkhoyansk,87,RU,1595986020,50,67.54,133.38,54.32,6.67
Timizart,0,DZ,1595986086,23,36.8,4.27,81.48,4.68
Tcholliré,100,CM,1595986086,96,8.4,14.17,70.65,3.53
Río Tercero,0,AR,1595986086,53,-32.17,-64.11,34.0,3.56
Shiloh,1,US,1595986086,65,38.56,-89.9,80.6,3.09
Dawlatabad,0,AF,1595986008,28,36.41,64.91,74.82,1.99
Henties Bay,0,NA,1595985666,95,-22.12,14.28,54.0,1.99
Ingham,1,US,1595986086,57,42.6,-84.38,79.0,7.72
Şabrātah,0,LY,1595986086,70,32.79,12.49,75.43,8.16
Punta de Piedra,0,VE,1595986086,85,7.62,-71.49,75.45,2.35
Santa Rosalía,25,MX,1595986086,61,27.32,-112.28,86.56,7.83
Yuzhno-Sukhokumsk,100,RU,1595986086,54,44.66,45.64,72.86,9.8
Dinghaicun,40,CN,1595986086,66,26.28,119.79,89.6,11.18
Preobrazheniye,14,RU,1595986087,72,42.9,133.91,73.13,3.91
San Ramon,1,US,1595985868,30,37.78,-121.98,89.01,12.75
San Lorenzo,20,PY,1595985811,61,-25.33,-57.53,50.0,6.93
Nysa,99,PL,1595986087,65,50.47,17.33,64.0,3.67
San Policarpo,100,PH,1595986016,80,12.18,125.51,80.94,5.17
Honiara,40,SB,1595985861,62,-9.43,159.95,89.6,4.7
Muros,2,ES,1595985857,76,42.78,-9.06,66.0,5.01
Tapiramutá,100,BR,1595986087,89,-11.85,-40.79,62.92,7.52
Yar-Sale,75,RU,1595985868,73,66.83,70.83,52.74,10.76
Fort Nelson,75,CA,1595985882,43,58.81,-122.7,69.8,5.82
Porto Santo,75,PT,1595986087,88,33.07,-16.34,69.8,16.11
Sørland,0,NO,1595985724,76,67.67,12.69,58.84,13.98
Lerwick,100,GB,1595985891,100,60.15,-1.15,53.6,18.34
Mushie,3,CD,1595986087,58,-3.02,16.9,76.66,2.55
Brae,100,GB,1595986018,100,60.4,-1.35,53.6,18.34
Barinas,0,VE,1595986087,84,8.62,-70.21,75.99,0.87
Rosetta,0,EG,1595985876,69,31.4,30.42,78.8,11.41
Province of Mantua,0,IT,1595986087,92,45.17,10.78,73.99,3.0
Muyezerskiy,100,RU,1595986087,91,63.93,31.65,56.37,4.59
Lázaro Cárdenas,82,MX,1595986047,80,17.96,-102.2,80.92,3.24
Znamenskoye,99,RU,1595986088,65,57.13,73.83,52.99,6.53
Zhanakorgan,0,KZ,1595986088,42,43.91,67.25,68.2,9.33
Karangampel,100,ID,1595986088,64,-6.46,108.45,79.34,7.18
Rebrikha,100,RU,1595986088,91,53.07,82.34,59.47,1.5
Broome,0,US,1595986088,5,42.25,-75.83,72.0,0.98
Tongliao,92,CN,1595985868,59,43.61,122.27,79.63,13.42
Aksarka,10,RU,1595985895,72,66.56,67.8,49.95,11.59
Ust'-Uda,100,RU,1595986088,66,54.17,103.03,66.49,3.98
Flinders,0,AU,1595985662,61,-34.58,150.86,64.99,8.99
Zavitinsk,0,RU,1595986088,69,50.12,129.45,78.84,5.3
Cortes,3,ES,1595986088,68,41.94,-1.44,71.6,16.11
Ribeira Grande,10,PT,1595985863,90,38.52,-28.7,73.44,11.99
Vardø,24,NO,1595986021,93,70.37,31.11,54.91,11.03
Bilma,0,NE,1595985891,27,18.69,12.92,91.76,7.87
Najrān,40,SA,1595986089,78,17.49,44.13,75.2,6.93
Gēdo,100,ET,1595986089,100,9.02,37.45,52.29,2.71
Puerto Gaitán,0,CO,1595986089,75,4.31,-72.08,79.45,3.22
Saurimo,0,AO,1595985892,39,-9.66,20.39,58.78,5.28
Padang,49,ID,1595985862,76,-0.95,100.35,79.0,3.11
Kirakira,100,SB,1595985875,70,-10.45,161.92,85.37,5.77
Dinkelsbühl,75,DE,1595986089,55,49.07,10.32,62.6,4.7
Skellefteå,80,SE,1595986070,93,64.75,20.95,59.0,4.7
Garmsār,0,IR,1595986089,25,35.22,52.34,80.06,3.33
Kaeo,100,NZ,1595986089,23,-35.1,173.78,60.01,11.01
Melito di Porto Salvo,5,IT,1595986089,74,37.92,15.77,78.8,5.82
Furmanov,63,RU,1595986089,82,57.25,41.11,64.4,4.47
Alto Araguaia,13,BR,1595986089,44,-17.31,-53.22,68.56,1.48
Itarema,0,BR,1595985879,80,-2.92,-39.92,77.88,12.73
San Buenaventura,48,MX,1595986090,56,27.08,-101.53,84.09,11.65
Windhoek,0,NA,1595986090,34,-22.56,17.08,50.0,3.36
Morant Bay,20,JM,1595986090,66,17.88,-76.41,87.8,4.7
Sampit,64,ID,1595986029,71,-2.53,112.95,79.93,5.44
Youhao,0,CN,1595986090,50,47.87,128.83,87.03,1.39
Harwich,0,GB,1595986090,72,51.94,1.28,55.0,3.0
Rindal,100,NO,1595986090,72,63.06,9.21,60.8,16.11
Kumul,0,CN,1595986027,34,42.8,93.45,77.59,11.65
Maïné Soroa,100,NE,1595986090,53,13.21,12.02,84.6,12.17
Biritiba-Mirim,75,BR,1595986090,56,-23.57,-46.04,73.99,4.7
Tabory,1,RU,1595986090,78,58.52,64.55,49.5,1.05
Venado Tuerto,0,AR,1595986090,66,-33.75,-61.97,39.72,0.69
Leningradskiy,5,RU,1595985856,68,69.38,178.42,42.26,5.82
Niquero,4,CU,1595986090,75,20.04,-77.58,82.11,6.62
Zabul Province,0,AF,1595986090,24,32.25,67.25,65.68,3.78
La Santisima Trinidad,4,BO,1595986090,55,-14.83,-64.9,74.39,6.78
Mossamedes,0,AO,1595985868,87,-15.2,12.15,61.84,7.23
Pemangkat,82,ID,1595986091,90,1.17,108.97,77.09,7.54
Isangel,40,VU,1595985866,65,-19.55,169.27,78.8,17.22
Margate,75,GB,1595985884,64,51.38,1.39,60.01,1.01
Bilibino,97,RU,1595985867,44,68.05,166.44,57.81,5.37
Camacha,75,PT,1595985997,88,33.08,-16.33,69.8,16.11
Verkhnyaya Inta,64,RU,1595986091,74,65.98,60.31,50.31,8.12
Orán,0,AR,1595985870,77,-23.13,-64.33,54.0,3.0
Ust-Tsilma,36,RU,1595986091,74,65.44,52.15,51.71,4.12
Lata,3,PT,1595985867,96,40.16,-8.33,64.0,1.77
Arrondissement de Clermont,42,FR,1595986091,87,49.5,2.42,53.01,5.82
Aliwal North,0,ZA,1595986091,68,-30.69,26.71,39.99,3.33
Kaberamaido,100,UG,1595986025,86,1.74,33.16,67.24,2.46
Iskateley,0,RU,1595986091,84,67.68,53.15,47.03,9.33
Horadiz,75,AZ,1595986091,78,39.45,47.34,75.2,6.93
Codrington,29,AU,1595985890,81,-38.27,141.97,53.33,11.95
Carauari,0,BR,1595986021,89,-4.88,-66.9,74.39,1.9
Oga,75,IT,1595986092,100,46.46,10.35,60.01,5.82
Taoudenni,99,ML,1595985882,30,22.68,-3.98,93.4,11.77
Calvinia,0,ZA,1595986092,76,-31.47,19.78,44.85,2.82
Tianpeng,100,CN,1595986092,99,30.99,103.94,73.99,1.99
Siniscola,0,IT,1595986092,83,40.57,9.69,71.6,1.12
Northam,46,GB,1595985858,94,51.03,-4.22,57.0,3.0
Orbetello,0,IT,1595986092,78,42.44,11.22,71.6,2.24
Marawi,46,PH,1595985892,74,8.0,124.29,82.99,4.0
Ouadda,100,CF,1595986092,96,8.08,22.4,67.69,3.13
Gayny,99,RU,1595986015,92,60.31,54.32,56.64,3.18
Tigil',100,RU,1595986092,70,57.8,158.67,58.12,14.58
San Jose,5,US,1595985791,47,37.34,-121.89,80.01,9.17
Navrongo,66,GH,1595986092,89,10.9,-1.09,73.94,5.19
Esperance,0,AU,1595985866,93,-33.87,121.9,50.0,6.93
Radomsko,80,PL,1595986092,88,51.07,19.44,66.99,55.99
Havre-St-Pierre,90,CA,1595985868,87,50.23,-63.6,60.8,8.05
Baykit,76,RU,1595985880,72,61.67,96.37,63.09,3.85
Pahrump,0,US,1595986093,6,36.21,-115.98,104.0,1.99
Kyra,88,RU,1595986093,83,49.58,111.98,63.97,0.4
Cockburn Town,14,TC,1595985894,81,21.46,-71.14,83.28,19.77
Fomento,20,CU,1595986093,78,22.1,-79.72,80.6,9.17
Saldanha,0,ZA,1595985883,81,-33.01,17.94,44.6,1.12
Matagami,90,CA,1595986093,88,49.75,-77.63,62.6,6.02
Dātāganj,100,IN,1595986093,89,28.03,79.4,79.25,7.45
Qaqortoq,99,GL,1595985885,76,60.72,-46.03,48.2,3.36
Mineral Wells,1,US,1595985882,78,32.81,-98.11,80.6,5.82
Bauchi,100,NG,1595986093,90,10.5,10.0,71.46,3.8
Itaqui,0,BR,1595986029,78,-29.13,-56.55,42.19,8.05
Gornopravdinsk,34,RU,1595986066,79,60.05,69.9,49.62,4.23
Vilcún,15,CL,1595986093,100,-38.65,-72.23,34.0,1.92
Teófilo Otoni,0,BR,1595986093,88,-17.86,-41.51,63.54,3.47
Talakan,0,RU,1595986093,54,50.32,130.37,85.08,2.71
Kununurra,0,AU,1595985887,20,-15.77,128.73,75.2,18.34
Ceres,1,US,1595986094,25,37.59,-120.96,96.8,11.41
Tambo,0,PE,1595986040,66,-14.8,-73.92,38.64,2.66
Sovetskiy,97,RU,1595986094,69,61.36,63.58,50.54,2.42
Luena,0,AO,1595986006,50,-11.78,19.92,50.23,3.53
Nabire,53,ID,1595985906,73,-3.37,135.48,83.95,1.59
Mozhga,0,RU,1595986094,91,56.44,52.23,57.51,3.53
Avera,1,US,1595985886,78,33.19,-82.53,80.6,3.36
Resistencia,0,AR,1595986094,56,-27.46,-58.98,46.99,5.82
‘Āhuimanu,20,US,1595985866,58,21.44,-157.84,86.0,18.34
Egvekinot,96,RU,1595985890,86,66.32,-179.17,45.54,4.03
Ankazoabo,0,MG,1595986094,79,-22.28,44.52,59.27,2.86
Fort Dodge,1,US,1595986094,65,42.5,-94.17,80.6,6.93
Rovaniemi,100,FI,1595986094,77,66.5,25.72,59.0,9.17
Antofagasta,9,CL,1595986094,81,-23.65,-70.4,53.6,3.36
Anadyr,75,RU,1595985859,76,64.75,177.48,57.2,13.42
Kebomas,100,ID,1595986094,67,-7.17,112.63,78.33,2.86
